comment_id,create_time,create_date_time,note_id,text,sub_comment_count,comment_like_count,last_modify_ts,ip_location,parent_comment_id,user_id,nickname,gender,profile_url,avatar,stance,target,label
5172084265452535,1748633244,2025-05-30 19:27:24+08:00,5172072160690389,登顶确实不容易  但是这和上学 有什么必然联系吗？？？,55,2188,1748608566361,河北,5172084265452535,1806488897,哈喽最近好吗晚夕兔,m,https://m.weibo.cn/u/1806488897?,"https://tvax4.sinaimg.cn/crop.0.0.720.720.180/6bacd541ly8hb3d3pare3j20k00k076l.jpg?KID=imgbed,tva&Expires=1748619366&ssig=Q0dadbfnF5",2,中学生,2
5172080150057470,1748632263,2025-05-30 19:11:03+08:00,5172072160690389,登月球可以保送,27,1730,1748608566363,陕西,5172080150057470,6065970080,所见皆星河a_,m,https://m.weibo.cn/u/6065970080?,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/006CwbV6ly8h2rrawtxk1j30e80e8aa6.jpg?KID=imgbed,tva&Expires=1748619366&ssig=rrBD61IB6j",1,中学生,1
5172094280400979,1748635631,2025-05-30 20:07:11+08:00,5172072160690389,斐乐直播间设置错价格了，299设置成29.9！好多人去拍！快,2,337,1748608566377,河南,5172094280400979,1459313967,皓山予哲,m,https://m.weibo.cn/u/1459313967?,"https://tva3.sinaimg.cn/crop.1.202.444.444.180/56fb5d2fjw1e7tzqys5yqj20co0hz76h.jpg?KID=imgbed,tva&Expires=1748619366&ssig=fgklAtLA5p",0,中学生,0
5172084527336570,1748633307,2025-05-30 19:28:27+08:00,5172072160690389,这又是谁在后面推手自家孩子了,9,757,1748608566388,安徽,5172084527336570,5063383184,狸花深处,f,https://m.weibo.cn/u/5063383184?,"https://tva1.sinaimg.cn/crop.20.99.220.220.180/005wFrgIgw1ee88cxna08j306p099q3p.jpg?KID=imgbed,tva&Expires=1748619366&ssig=%2F%2FugKioVtf",0,中学生,0
5172081660791453,1748632623,2025-05-30 19:17:03+08:00,5172072160690389,现在才17，等到明后年高考之后就有政策了,35,514,1748608566402,湖北,5172081660791453,5973235679,Hxc海星锤,m,https://m.weibo.cn/u/5973235679?,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/006wf5sXly8hy7yhylzoaj30u00u0abf.jpg?KID=imgbed,tva&Expires=1748619366&ssig=HWF2xXLAMW",0,中学生,0
5172083404309652,1748633039,2025-05-30 19:23:59+08:00,5172072160690389,那我如果能下马里亚纳海沟 可以保送吗,38,367,1748608566416,福建,5172083404309652,6357904513,不知道取个虾米,f,https://m.weibo.cn/u/6357904513?,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/006Wh7oZly8fsron7m6tbj30e80e875d.jpg?KID=imgbed,tva&Expires=1748619366&ssig=4JgMFgnH%2BO",0,中学生,0
5172083789139917,1748633131,2025-05-30 19:25:31+08:00,5172072160690389,爬个珠峰就可以保送的话那真的是呵呵了,22,386,1748608566429,福建,5172083789139917,5259654476,小哥儿biu,m,https://m.weibo.cn/u/5259654476?,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/005JWYoIly8hdop4i8ij2j30e80e8gm4.jpg?KID=imgbed,tva&Expires=1748619366&ssig=VTsfnoeHbt",0,中学生,0
5172084716343452,1748633352,2025-05-30 19:29:12+08:00,5172072160690389,有钱人的游戏,6,279,1748608566442,浙江,5172084716343452,1868015044,吃货level6,m,https://m.weibo.cn/u/1868015044?,"https://tva1.sinaimg.cn/crop.0.0.180.180.180/6f57a5c4jw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1748619366&ssig=sVZ4%2BAFSSv",0,中学生,0
5172085119782605,1748633448,2025-05-30 19:30:48+08:00,5172072160690389,这要是能保送 那还上什么学了,25,175,1748608566456,辽宁,5172085119782605,3134650147,zzb正准备,m,https://m.weibo.cn/u/3134650147?,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/bad6f723ly8glv152a5mdj20ro0rot9j.jpg?KID=imgbed,tva&Expires=1748619366&ssig=8Snze%2BDLmB",1,中学生,1
5172084675445719,1748633342,2025-05-30 19:29:02+08:00,5172072160690389,提出这个议题的人就没安好心,1,147,1748608566468,上海,5172084675445719,7656622010,未央78624,m,https://m.weibo.cn/u/7656622010?,"https://tvax1.sinaimg.cn/crop.0.0.40.40.180/008map9oly4gsrwglyygzj30140140nh.jpg?KID=imgbed,tva&Expires=1748619366&ssig=tEasWko1HX",0,中学生,0
5172094012753093,1748635568,2025-05-30 20:06:08+08:00,5172090043109671,感觉网友宝宝有点一厢情愿吧。,0,0,1748608569358,上海,5172094012753093,1401669165,貔貅视点,m,https://m.weibo.cn/u/1401669165?,"https://tvax3.sinaimg.cn/crop.0.0.1009.1009.180/538bc62dly8huv6yh7lzsj20s10s1tce.jpg?KID=imgbed,tva&Expires=1748619369&ssig=LlFpWEnfop",1,中学生,1
5172100249165354,1748637055,2025-05-30 20:30:55+08:00,5172090043109671,这就保送了？不应该吧,0,0,1748608569373,湖南,5172100249165354,6298292267,美丽的xiangrikui,f,https://m.weibo.cn/u/6298292267?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/006SeZx9ly8henp59jcszj30u00u0ac7.jpg?KID=imgbed,tva&Expires=1748619369&ssig=3U9E1VC6cI",0,中学生,0
5172096843386439,1748636243,2025-05-30 20:17:23+08:00,5172090043109671,登山就能保送啊,0,0,1748608569388,新疆,5172096843386439,7404478430,怪世逸音,f,https://m.weibo.cn/u/7404478430?,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/00856r5sly8i1fk7pk6gdj30e80e8q3b.jpg?KID=imgbed,tva&Expires=1748619369&ssig=UXEt0g%2Bn3J",0,中学生,0
5172095580379911,1748635942,2025-05-30 20:12:22+08:00,5172090043109671,这个都不是一个层次的问题,0,0,1748608569400,江苏,5172095580379911,1219738862,苏米鱼,f,https://m.weibo.cn/u/1219738862?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/48b3bceely8i1kwm7p7pvj20u00u0n2y.jpg?KID=imgbed,tva&Expires=1748619369&ssig=EI0VZj0gHW",2,中学生,2
5172094473076867,1748635677,2025-05-30 20:07:57+08:00,5172090043109671,这怎么能保送呢,0,0,1748608569414,广东,5172094473076867,7248132163,进入汪世界,m,https://m.weibo.cn/u/7248132163?,"https://tvax3.sinaimg.cn/crop.0.0.816.816.180/007Uwqhtly8i1wnjxaekgj30mo0moq43.jpg?KID=imgbed,tva&Expires=1748619369&ssig=73noKtjYFb",0,中学生,0
5172094134651815,1748635597,2025-05-30 20:06:37+08:00,5172090043109671,应该不能吧，感觉蛮危险呢,0,0,1748608569430,福建,5172094134651815,7716149545,都要快乐丫,f,https://m.weibo.cn/u/7716149545?,"https://tvax3.sinaimg.cn/crop.0.0.1056.1056.180/008qcaYVly8i1k2oddzb6j30tc0tcaaz.jpg?KID=imgbed,tva&Expires=1748619369&ssig=FjCaLow8Op",0,中学生,0
5172092557333464,1748635221,2025-05-30 20:00:21+08:00,5172090043109671,感觉不能吧，这两者都没啥联系,0,0,1748608569442,福建,5172092557333464,5592803851,Cyndi大眠,f,https://m.weibo.cn/u/5592803851?,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/0066uPLJgy1hbg5cefugcj30u00u076o.jpg?KID=imgbed,tva&Expires=1748619369&ssig=NYEgveg2eu",0,中学生,0
5172092502543366,1748635208,2025-05-30 20:00:08+08:00,5172090043109671,能登顶真的太厉害了,0,0,1748608569456,湖北,5172092502543366,6960467939,沉暮挽歌,f,https://m.weibo.cn/u/6960467939?,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/007B3pFVly8hze6n4suy5j30u00u00y7.jpg?KID=imgbed,tva&Expires=1748619369&ssig=04g3%2FeUdAn",1,中学生,1
5172091469957047,1748634962,2025-05-30 19:56:02+08:00,5172090043109671,这都能上热门,0,1,1748608569470,浙江,5172091469957047,2550900394,小魔丸ya,m,https://m.weibo.cn/u/2550900394?,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/980ba6aaly8hoqqfex666j20u00u0gsq.jpg?KID=imgbed,tva&Expires=1748619369&ssig=r%2BockbQnR0",2,中学生,2
5172091427231563,1748634952,2025-05-30 19:55:52+08:00,5172090043109671,这两者有必要关系吗,0,0,1748608569484,广东,5172091427231563,6260740664,快乐de小兔兔,f,https://m.weibo.cn/u/6260740664?,"https://tvax4.sinaimg.cn/crop.0.0.500.500.180/006PHqE8ly8hj8g7v2bzyj30dw0dwmxq.jpg?KID=imgbed,tva&Expires=1748619369&ssig=tpr8rpzhvW",1,中学生,1
5172089856199510,1748634577,2025-05-30 19:49:37+08:00,5172088269707040,你是不是以为珠峰在当代很难登,1,9,1748608573326,天津,5172089856199510,2510926067,纵情球场,m,https://m.weibo.cn/u/2510926067?,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/95a9b0f3ly8hn5nggt8ysj20u00u0ac5.jpg?KID=imgbed,tva&Expires=1748619373&ssig=FEuNgXoipr",0,中学生,0
5172093513632811,1748635449,2025-05-30 20:04:09+08:00,5172088269707040,不会开这个先例得我感觉,1,3,1748608573341,福建,5172093513632811,5183832194,诗的第118页,f,https://m.weibo.cn/u/5183832194?,"https://tvax4.sinaimg.cn/crop.0.1.1080.1080.180/005BHmQ1ly8i1wyowsecpj30u00u00zf.jpg?KID=imgbed,tva&Expires=1748619373&ssig=OglEeSlCrq",0,中学生,0
5172091756218679,1748635030,2025-05-30 19:57:10+08:00,5172088269707040,所以可以保送吗,1,3,1748608573355,湖南,5172091756218679,7491222452,绵设,m,https://m.weibo.cn/u/7491222452?,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/008aYpaAly8i1vux4v96yj30u00u0gnz.jpg?KID=imgbed,tva&Expires=1748619373&ssig=xkh1lXnUZK",0,中学生,0
5172091284620663,1748634917,2025-05-30 19:55:17+08:00,5172088269707040,清华肯定不会开这个先例的,1,6,1748608573369,江苏,5172091284620663,6561899058,硅基流动,m,https://m.weibo.cn/u/6561899058?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/007a53HAly8hrrf4u7cmpj30u00u0gmt.jpg?KID=imgbed,tva&Expires=1748619373&ssig=sIU8wmXJPK",2,中学生,2
5172100018737392,1748637000,2025-05-30 20:30:00+08:00,5172088269707040,不会开这个先例感觉,0,1,1748608573384,四川,5172100018737392,5429605744,旧事書,m,https://m.weibo.cn/u/5429605744?,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/005Vs4ucly8i1gnr5hjl9j30u00u0goh.jpg?KID=imgbed,tva&Expires=1748619373&ssig=RmFxvSZ%2FBE",0,中学生,0
5172098655065835,1748636675,2025-05-30 20:24:35+08:00,5172088269707040,不能保送吧,0,1,1748608573397,广东,5172098655065835,3310229765,茶系女,m,https://m.weibo.cn/u/3310229765?,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/c54e1905ly8i1xiabablbj20u00u076m.jpg?KID=imgbed,tva&Expires=1748619373&ssig=3IIz9CQ6ta",0,中学生,0
5172089373852244,1748634462,2025-05-30 19:47:42+08:00,5172088269707040,晚上好,0,5,1748608573411,云南,5172089373852244,7593599776,冰雪梦幻幂幂,f,https://m.weibo.cn/u/7593599776?,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/008hTYbKly8htkxi07aijj30u00u077s.jpg?KID=imgbed,tva&Expires=1748619373&ssig=QNaxJrq9RD",2,中学生,2
5172091502727980,1748634970,2025-05-30 19:56:10+08:00,5172088269707040,转发微博,0,3,1748608573425,江苏,5172091502727980,3461130350,DepSek,f,https://m.weibo.cn/u/3461130350?,"https://tvax4.sinaimg.cn/crop.0.0.591.591.180/ce4ca86ely8hzpgj3x4t4j20gf0gf755.jpg?KID=imgbed,tva&Expires=1748619373&ssig=w8Ic9rMLFW",2,中学生,2
